Unique Words,Used in Hemingway,Used in Dickens,Frequinces Hemingway,Frequinces Dickens,Hemingway Laplace,Dickens Laplace
solid,13,5,0.00010430373246894958,3.23312792193936e-05,9.477838781962318e-05,3.3759832551230545e-05
black,50,115,0.0004011682018036522,0.0007436194220460527,0.00034526412705719877,0.0006526900959904573
peasant,38,7,0.0003048878333707757,4.5263790907151034e-05,0.00026402550892609314,4.501311006830739e-05
’,4075,3784,0.03269520844699766,0.02446831211323707,0.027594050625198867,0.021296827701067937
smock,7,0,5.616354825251131e-05,0.0,5.415907875407039e-05,5.626638758538424e-06
gray,111,0,0.000890593408004108,0.0,0.0007582271025569855,5.626638758538424e-06
iron-stiff,1,0,8.023364036073044e-06,0.0,1.3539769688517598e-05,5.626638758538424e-06
trousers,19,8,0.00015244391668538785,5.173004675102975e-05,0.000135397696885176,5.063974882684582e-05
wore,48,43,0.00038512147373150616,0.0002780490012867849,0.0003317243573686812,0.00024757210537569064
rope-soled,12,0,9.628036843287654e-05,0.0,8.800850297536439e-05,5.626638758538424e-06
shoes,29,37,0.0002326775570461183,0.0002392514662235126,0.00020309654532776398,0.00021381227282446012
breathing,21,24,0.00016849064475753394,0.00015519014025308926,0.00014893746657369358,0.0001406659689634606
heavily,32,29,0.0002567476491543374,0.00018752141947248285,0.00022340619986054038,0.00016879916275615273
climb,19,0,0.00015244391668538785,0.0,0.000135397696885176,5.626638758538424e-06
hand,320,508,0.002567476491543374,0.003284857968690389,0.0021731330350070743,0.002863959128096058
rested,14,17,0.00011232709650502263,0.00010992634934593822,0.00010154827266388199,0.00010127949765369164
one,1162,931,0.009323149009916877,0.006020084190651087,0.007873376073872984,0.005244027322957812
two,423,451,0.003393882987258898,0.0029162813855893024,0.002870431173965731,0.002543240718859368
heavy,82,72,0.0006579158509579896,0.00046557042075926776,0.0005619004420734803,0.000410744629373305
packs,32,0,0.0002567476491543374,0.0,0.00022340619986054038,5.626638758538424e-06
carrying,29,13,0.0002326775570461183,8.406132597042335e-05,0.00020309654532776398,7.877294261953794e-05
bridge,337,22,0.0027038736801566162,0.00014225762856533183,0.0022882210773594743,0.00012941269144638377
said,3867,2011,0.031026348727494463,0.013003640502040104,0.026185914577593034,0.01132079718217931
easy,32,37,0.0002567476491543374,0.0002392514662235126,0.00022340619986054038,0.00021381227282446012
country,138,78,0.0011072242369780801,0.0005043679558225401,0.000941013993351973,0.00044450446192453554
flows,1,0,8.023364036073044e-06,0.0,1.3539769688517598e-05,5.626638758538424e-06
turns,4,9,3.209345614429218e-05,5.819630259490847e-05,3.3849424221294e-05,5.6266387585384245e-05
sight,76,67,0.0006097756667415514,0.00043323914153987414,0.0005212811330079275,0.00038261143558061285
drops,10,10,8.023364036073044e-05,6.46625584387872e-05,7.446873328684679e-05,6.189302634392266e-05
suddenly,62,46,0.0004974485702365287,0.0002974477688184211,0.00042650274518830434,0.00026445202165130595
gorge—,1,0,8.023364036073044e-06,0.0,1.3539769688517598e-05,5.626638758538424e-06
across,223,79,0.001789210180044289,0.0005108342116664188,0.001516454205113971,0.00045013110068307396
gorge,25,0,0.0002005841009018261,0.0,0.00017601700595072878,5.626638758538424e-06
posts,24,1,0.00019256073686575308,6.466255843878719e-06,0.00016924712110647,1.1253277517076848e-05
post,77,25,0.0006177990307776244,0.00016165639609696798,0.0005280510178521863,0.00014629260772199904
young,72,278,0.0005776822105972592,0.0017976191245982838,0.0004942015936308924,0.0015698322136322204
studying,9,2,7.22102763246574e-05,1.2932511687757438e-05,6.7698848442588e-05,1.6879916275615273e-05
took,205,349,0.001644789627394974,0.002256723289513673,0.0013945962779173125,0.0019693235654884484
glasses,37,12,0.00029686446933470265,7.759507012654463e-05,0.00025725562408183435,7.314630386099952e-05
